nama_negara,benua
united states of america,
canada,
austria,
new zealand,
france,
japan,
great britain,
uzbekistan,
australia,
morocco,
egypt,
guinea,
south africa,
ghana,
united arab emirates,
saudi arabia,
türkiye,
spain,
india,
kazakhstan,
ireland,
belgium,
jamaica,
poland,
hungary,
israel,
nigeria,
fiji,
romania,
mexico,
mongolia,
refugee olympic team,
brazil,
italy,
argentina,
kenya,
chile,
mali,
iraq,
liberia,
trinidad and tobago,
samoa,
paraguay,
angola,
sweden,
puerto rico,
slovenia,
serbia,
people's republic of china,
greece,
germany,
azerbaijan,
norway,
islamic republic of iran,
ukraine,
republic of moldova,
montenegro,
estonia,
dominican republic,
bahamas,
denmark,
syrian arab republic,
croatia,
colombia,
switzerland,
lithuania,
netherlands,
botswana,
portugal,
south sudan,
malaysia,
zambia,
uruguay,
republic of korea,
ecuador,
unknown,
hong kong,
peru,
algeria,
chinese taipei,
singapore,
cuba,
indonesia,
slovakia,
finland,
czechia,
georgia,
latvia,
venezuela,
thailand,
côte d'ivoire,
bulgaria,
luxembourg,
sudan,
qatar,
djibouti,
ethiopia,
niger,
togo,
kosovo,
bermuda,
guatemala,
jordan,
libya,
tunisia,
kyrgyzstan,
madagascar,
philippines,
maldives,
vanuatu,
bahrain,
tonga,
gambia,
costa rica,
mozambique,
guyana,
